symbol,name,exchange,breakout_date,breakout_close,breakout_ma250,breakout_premium_pct,latest_date,latest_close,latest_ma250,latest_premium_pct,sessions_since_breakout,signal_type
AWX,Avalon Holdings Corporation Common Stock,NYSE American,2026-03-18,2.609999895095825,2.609960008621216,0.0015282408342587317,2026-03-18,2.609999895095825,2.609960008621216,0.0015282408342587317,0,today
MBAV,M3-Brigade Acquisition V Corp. - Class A Ordinary shares,NASDAQ,2026-03-18,10.720000267028809,10.717464000701904,0.023664799123546132,2026-03-18,10.720000267028809,10.717464000701904,0.023664799123546132,0,today
MQY,"Blackrock MuniYield Quality Fund, Inc. Common Stock",NYSE,2026-03-18,11.350000381469727,11.34107997894287,0.07865567074227808,2026-03-18,11.350000381469727,11.34107997894287,0.07865567074227808,0,today
JBK,Lehman ABS 3.50 3.50% Adjustable Corp Backed Tr Certs GS Cap I,NYSE,2026-03-18,25.799999237060547,25.767160057067873,0.12744586489137344,2026-03-18,25.799999237060547,25.767160057067873,0.12744586489137344,0,today
WSM,"Williams-Sonoma, Inc. Common Stock (DE)",NYSE,2026-03-18,184.10000610351562,183.31715966796875,0.42704482055295756,2026-03-18,184.10000610351562,183.31715966796875,0.42704482055295756,0,today
FDBC,"Fidelity D & D Bancorp, Inc. - Common Stock",NASDAQ,2026-03-18,43.63999938964844,43.43975991821289,0.4609589735591335,2026-03-18,43.63999938964844,43.43975991821289,0.4609589735591335,0,today
IIPR,"Innovative Industrial Properties, Inc. Common Stock",NYSE,2026-03-18,53.540000915527344,53.21903997802735,0.6030941889077823,2026-03-18,53.540000915527344,53.21903997802735,0.6030941889077823,0,today
WFCF,"Where Food Comes From, Inc. - Common Stock",NASDAQ,2026-03-18,11.710000038146973,11.623319980621337,0.7457426765343333,2026-03-18,11.710000038146973,11.623319980621337,0.7457426765343333,0,today
GPGI,"GPGI, Inc. Class A Common Stock",NYSE,2026-03-18,17.739999771118164,17.604320014953615,0.7707185284594908,2026-03-18,17.739999771118164,17.604320014953615,0.7707185284594908,0,today
CTNT,Cheetah Net Supply Chain Service Inc. - Class A Common Stock,NASDAQ,2026-03-18,1.5,1.478567997455597,1.4495107821408615,2026-03-18,1.5,1.478567997455597,1.4495107821408615,0,today
HUHU,HUHUTECH International Group Inc. - Ordinary Shares,NASDAQ,2026-03-18,6.800000190734863,6.693319987297058,1.59383091859151,2026-03-18,6.800000190734863,6.693319987297058,1.59383091859151,0,today
CEG,Constellation Energy Corporation - Common Stock When-Issued,NASDAQ,2026-03-18,317.2200012207031,311.71404010009763,1.7663500555950007,2026-03-18,317.2200012207031,311.71404010009763,1.7663500555950007,0,today
VHC,VirnetX Holding Corp - Common Stock,NASDAQ,2026-03-18,15.699999809265137,15.417199995040894,1.8343137165971024,2026-03-18,15.699999809265137,15.417199995040894,1.8343137165971024,0,today
LOOP,"Loop Industries, Inc. - Common Stock",NASDAQ,2026-03-18,1.350000023841858,1.3245679981708527,1.920024166832146,2026-03-18,1.350000023841858,1.3245679981708527,1.920024166832146,0,today
AUBN,"Auburn National Bancorporation, Inc. - Common Stock",NASDAQ,2026-03-18,24.860000610351562,24.391479972839356,1.920837267906328,2026-03-18,24.860000610351562,24.391479972839356,1.920837267906328,0,today
TLN,Talen Energy Corporation - Common Stock,NASDAQ,2026-03-18,338.6000061035156,332.097059387207,1.9581464311391406,2026-03-18,338.6000061035156,332.097059387207,1.9581464311391406,0,today
ELSE,"Electro-Sensors, Inc. - Common Stock",NASDAQ,2026-03-18,4.539999961853027,4.451480000495911,1.988551253678672,2026-03-18,4.539999961853027,4.451480000495911,1.988551253678672,0,today
HUYA,"HUYA Inc. American depositary shares, each  representing one Class A ordinary share",NYSE,2026-03-18,3.4600000381469727,3.382759998321533,2.283343774425761,2026-03-18,3.4600000381469727,3.382759998321533,2.283343774425761,0,today
SAIH,SAIHEAT Limited - Class A Ordinary Shares,NASDAQ,2026-03-18,7.820000171661377,7.639867991447448,2.357791789276731,2026-03-18,7.820000171661377,7.639867991447448,2.357791789276731,0,today
TPET,Trio Petroleum Corp. Common Stock,NYSE American,2026-03-18,1.1100000143051147,1.0750799973011016,3.2481319614984017,2026-03-18,1.1100000143051147,1.0750799973011016,3.2481319614984017,0,today
FORTY,Formula Systems (1985) Ltd. - American Depositary Shares,NASDAQ,2026-03-18,134.875,130.01366018676757,3.739099265607182,2026-03-18,134.875,130.01366018676757,3.739099265607182,0,today
IOR,"Income Opportunity Realty Investors, Inc. Common Stock",NYSE American,2026-03-18,18.949899673461914,18.180119537353516,4.2341863293405835,2026-03-18,18.949899673461914,18.180119537353516,4.2341863293405835,0,today
EVTV,"Envirotech Vehicles, Inc. - Common stock",NASDAQ,2026-03-18,1.9600000381469727,1.850519998550415,5.9161770573848305,2026-03-18,1.9600000381469727,1.850519998550415,5.9161770573848305,0,today
FBGL,FBS Global Limited - Ordinary Shares,NASDAQ,2026-03-18,0.7770000100135803,0.7173360017538071,8.317442330219226,2026-03-18,0.7770000100135803,0.7173360017538071,8.317442330219226,0,today
KC,Kingsoft Cloud Holdings Limited - American Depositary Shares,NASDAQ,2026-03-18,14.779999732971191,13.240859992980957,11.624167469530988,2026-03-18,14.779999732971191,13.240859992980957,11.624167469530988,0,today
GXAI,Gaxos.ai Inc. - Common Stock,NASDAQ,2026-03-18,1.5399999618530273,1.3655999999046327,12.77094038961437,2026-03-18,1.5399999618530273,1.3655999999046327,12.77094038961437,0,today
FLC,Flaherty & Crumrine Total Return Fund Inc Common Stock,NYSE,2026-03-17,17.260000228881836,17.197959972381593,0.3607419519517041,2026-03-18,17.200000762939453,17.19875997543335,0.007214400967714418,1,recent_week
CII,"BlackRock Enhanced Large Cap Core Fund, Inc. Common Stock",NYSE,2026-03-17,21.959999084472656,21.82456002807617,0.6205809245283689,2026-03-18,21.84000015258789,21.836760025024414,0.014837950134372058,1,recent_week
CSWC,Capital Southwest Corporation - Common Stock,NASDAQ,2026-03-17,21.93000030517578,21.79219998931885,0.6323377902390348,2026-03-18,21.829999923706055,21.790839988708495,0.17970823987443207,1,recent_week
KTB,"Kontoor Brands, Inc. Common Stock",NYSE,2026-03-17,69.25,68.91020008850097,0.4931053908748373,2026-03-18,69.06999969482422,68.93248008728027,0.19949899868658694,1,recent_week
H,Hyatt Hotels Corporation Class A Common Stock,NYSE,2026-03-17,147.49000549316406,144.28260021972656,2.223002128151963,2026-03-18,145.3800048828125,144.36132025146483,0.7056492899712996,1,recent_week
MITT,"TPG Mortgage Investment Trust, Inc. Common Stock",NYSE,2026-03-17,7.929999828338623,7.6594800205230715,3.5318299295867606,2026-03-18,7.739999771118164,7.659280019760132,1.0538817114635224,1,recent_week
KNF,Knife Riv Holding Co. Common Stock,NYSE,2026-03-17,83.0999984741211,81.1663999786377,2.3822647006548348,2026-03-18,82.41000366210938,81.1138399810791,1.597956256703692,1,recent_week
CXW,"CoreCivic, Inc. Common Stock",NYSE,2026-03-17,20.280000686645508,19.88780000305176,1.9720667119217161,2026-03-18,20.219999313354492,19.88723999786377,1.6732302497805884,1,recent_week
LIDR,"AEye, Inc. - Class A Common Stock",NASDAQ,2026-03-17,1.8300000429153442,1.8255279984474182,0.24497265841605387,2026-03-18,1.8700000047683716,1.8303559985160827,2.165917793283345,1,recent_week
GAP,"Gap, Inc. (The) Common Stock",NYSE,2026-03-17,23.850000381469727,23.504639984130858,1.469328598830022,2026-03-18,24.030000686645508,23.519919990539552,2.168717820090915,1,recent_week
CARG,"CarGurus, Inc. - Class A Common Stock",NASDAQ,2026-03-17,33.41999816894531,33.135799964904784,0.8576772081601458,2026-03-18,33.959999084472656,33.15199996185303,2.4372560435248714,1,recent_week
ATAT,Atour Lifestyle Holdings Limited - American Depositary Shares,NASDAQ,2026-03-17,37.029998779296875,35.24584000396729,5.062040726306316,2026-03-18,36.47999954223633,35.268120002746585,3.4361897923545826,1,recent_week
PHAT,"Phathom Pharmaceuticals, Inc. - Common Stock",NASDAQ,2026-03-17,10.850000381469727,10.552379996299743,2.820410042799315,2026-03-18,10.960000038146973,10.571899996757507,3.671052899748384,1,recent_week
FLR,Fluor Corporation Common Stock,NYSE,2026-03-17,44.65999984741211,43.86112004089355,1.8213848752009154,2026-03-18,45.63999938964844,43.89072003173828,3.9855335174387996,1,recent_week
AVO,"Mission Produce, Inc. - Common Stock",NASDAQ,2026-03-17,12.15999984741211,12.000880027770997,1.3259012611816612,2026-03-18,12.489999771118164,12.010320026397705,3.9938964462742144,1,recent_week
FTRE,Fortrea Holdings Inc. - Common Stock,NASDAQ,2026-03-17,9.699999809265137,9.521800006866455,1.8714928088195082,2026-03-18,9.9399995803833,9.52452000427246,4.362210126331467,1,recent_week
NDLS,Noodles & Company - Class A Common Stock,NASDAQ,2026-03-17,6.650000095367432,6.2620800018310545,6.194748285281371,2026-03-18,6.690000057220459,6.253640001296997,6.977697082546497,1,recent_week
SMSI,"Smith Micro Software, Inc. - Common Stock",NASDAQ,2026-03-17,0.8199999928474426,0.7337999985218048,11.747069296713342,2026-03-18,0.8066999912261963,0.7338667984008789,9.924579362906648,1,recent_week
XFOR,"X4 Pharmaceuticals, Inc. - Common Stock",NASDAQ,2026-03-17,4.230000019073486,3.6543800077438355,15.751509424577614,2026-03-18,4.050000190734863,3.634580008506775,11.42966123336926,1,recent_week
